Locus,Pubmed accession number
KF289065,['25346397']
KJ729162,['25642359']
KJ729161,['25642359']
KJ729160,['25642359']
KJ729159,['25642359']
KJ729158,['25642359']
KJ729157,['25642359']
KJ729156,['25642359']
KJ729155,['25642359']
KJ729154,['25642359']
KJ729153,['25642359']
KJ729152,['25642359']
KJ729151,['25642359']
KR920365,['26219500']
KP256368,['26247719']
KT345608,['26209106']
KT345607,['26209106']
KT345606,['26209106']
KM488329,['26230127']
KM488328,['26230127']
JQ686088,"['23028722', '26184939']"
KF030676,['26150855']
KF030675,['26150855']
KF030674,['26150855']
KF030673,['26150855']
KF030672,['26150855']
KF030671,['26150855']
KF030670,['26150855']
KF030669,['26150855']
KF030668,['26150855']
KF030667,['26150855']
KF030666,['26150855']
KF030665,['26150855']
KF030664,['26150855']
KF030663,['26150855']
KF030662,['26150855']
KC762680,['25784569']
KC762679,['25784569']
KC762678,['25784569']
KC762677,['25784569']
KC762676,['25784569']
KC762675,['25784569']
KC762674,['25784569']
KC762673,['25784569']
KC762672,['25784569']
KC762671,['25784569']
KC762670,['25784569']
KC762669,['25784569']
KC762668,['25784569']
KC762667,['25784569']
KC762666,['25784569']
KC762665,['25784569']
KC762664,['25784569']
KC762663,['25784569']
KC762662,['25784569']
KC762661,['25784569']
KC762660,['25784569']
KC762659,['25784569']
KC762658,['25784569']
KC762657,['25784569']
KC762656,['25784569']
KC762655,['25784569']
KM087965,['25581790']
KF479233,['24666930']
AB479042,['19762982']
AB479041,['19762982']
KC571834,['25455901']
FJ392598,['22960088']
FJ392597,['22960088']
FJ392596,['22960088']
FJ392595,['22960088']
FJ392594,['22960088']
FJ392593,['22960088']
FJ392592,['22960088']
FJ392591,['22960088']
FJ392590,['22960088']
FJ392589,['22960088']
FJ392588,['22960088']
FJ392587,['22960088']
FJ392586,['22960088']
FJ392585,['22960088']
FJ392584,['22960088']
FJ392583,['22960088']
FJ390027,['22960088']
FJ390026,['22960088']
KJ806932,['25846296']
KJ806931,['25846296']
KJ806930,['25846296']
KJ806929,['25846296']
KJ806928,['25846296']
KJ806927,['25846296']
KJ806926,['25846296']
KJ806925,['25846296']
KJ806924,['25846296']
KJ806923,['25846296']
KJ806922,['25846296']
KJ806921,['25846296']
KJ806920,['25846296']
KJ806919,['25846296']
KJ806918,['25846296']
KJ806917,['25846296']
KJ806916,['25846296']
KJ806915,['25846296']
KJ806914,['25846296']
KJ806913,['25846296']
KJ806912,['25846296']
KJ806911,['25846296']
KJ806910,['25846296']
KJ806909,['25846296']
KJ806908,['25846296']
KJ806907,['25846296']
KJ806906,['25846296']
KJ806905,['25846296']
KJ806904,['25846296']
KJ806903,['25846296']
KJ806902,['25846296']
KJ806901,['25846296']
KJ806900,['25846296']
KJ806899,['25846296']
KJ806898,['25846296']
KJ806897,['25846296']
KJ806896,['25846296']
KJ806895,['25846296']
KJ806894,['25846296']
KJ806893,['25846296']
KJ806892,['25846296']
KJ806891,['25846296']
KJ806890,['25846296']
KJ806889,['25846296']
KJ806888,['25846296']
KJ806887,['25846296']
KJ806886,['25846296']
KJ806885,['25846296']
KJ806884,['25846296']
KJ806883,['25846296']
KJ806882,['25846296']
KJ806881,['25846296']
KJ806880,['25846296']
KJ806879,['25846296']
KJ806878,['25846296']
KJ806877,['25846296']
KJ806876,['25846296']
KJ806875,['25846296']
KJ806816,['25846296']
KJ806815,['25846296']
KJ806814,['25846296']
KJ806813,['25846296']
KJ806812,['25846296']
KJ806811,['25846296']
KJ806810,['25846296']
KJ806809,['25846296']
KJ806808,['25846296']
KJ806807,['25846296']
KJ806806,['25846296']
KJ806805,['25846296']
KJ806804,['25846296']
KJ806803,['25846296']
KJ806802,['25846296']
KJ806801,['25846296']
KJ806800,['25846296']
KJ806799,['25846296']
KJ806798,['25846296']
KJ806797,['25846296']
KJ806796,['25846296']
KJ806795,['25846296']
KJ806794,['25846296']
KJ806793,['25846296']
KJ806792,['25846296']
KJ806791,['25846296']
KJ806790,['25846296']
KJ806789,['25846296']
KJ806788,['25846296']
KJ806787,['25846296']
KJ806786,['25846296']
KJ806785,['25846296']
KJ806784,['25846296']
KJ806783,['25846296']
KJ806782,['25846296']
KJ806781,['25846296']
KJ806780,['25846296']
KJ806779,['25846296']
KJ806778,['25846296']
KJ806777,['25846296']
KJ806776,['25846296']
KJ806775,['25846296']
KJ806774,['25846296']
KJ806773,['25846296']
KM587709,['25762732']
KC294223,['25002298']
KC294222,['25002298']
KC294221,['25002298']
KC294220,['25002298']
KC294219,['25002298']
KC294218,['25002298']
KC294217,['25002298']
KC294216,['25002298']
KC294215,['25002298']
KC294214,['25002298']
KC294213,['25002298']
KC294212,['25002298']
KC294211,['25002298']
KC294210,['25002298']
KC294209,['25002298']
KC294208,['25002298']
KC294207,['25002298']
KC294206,['25002298']
KC294205,['25002298']
KC294204,['25002298']
KC294203,['25002298']
KC294202,['25002298']
KC294201,['25002298']
KC294200,['25002298']
KJ690589,['25242312']
KJ690588,['25242312']
KJ690586,['25242312']
KJ147102,['25127366']
KJ147101,['25127366']
KJ147100,['25127366']
KJ147099,['25127366']
KJ147098,['25127366']
KJ147097,['25127366']
KJ147096,['25127366']
KJ147095,['25127366']
KF704358,['25091743']
KF704357,['25091743']
KF704356,['25091743']
KF704355,['25091743']
KF704354,['25091743']
KJ734727,['24807709']
JX051814,['23648427']
JX051813,['23648427']
JX051812,['23648427']
JX051811,['23648427']
JX051810,['23648427']
JX051809,['23648427']
JX051808,['23648427']
JX051807,['23648427']
JX051806,['23648427']
JX051805,['23648427']
JX051804,['23648427']
JX051803,['23648427']
JX051802,['23648427']
JX051801,['23648427']
JX051800,['23648427']
JX051799,['23648427']
JX051798,['23648427']
JX051797,['23648427']
JX051796,['23648427']
JX051795,['23648427']
JX051794,['23648427']
JX051793,['23648427']
JX051792,['23648427']
JX051791,['23648427']
JX051790,['23648427']
JX051789,['23648427']
JX051788,['23648427']
JX051787,['23648427']
JX051786,['23648427']
JX051785,['23648427']
JX051784,['23648427']
JX051783,['23648427']
JX051782,['23648427']
JX051781,['23648427']
JX051780,['23648427']
JX051779,['23648427']
JX051778,['23648427']
JX051777,['23648427']
JX051776,['23648427']
JX051775,['23648427']
JX051774,['23648427']
JX051773,['23648427']
JX051772,['23648427']
JX051771,['23648427']
JX051770,['23648427']
JX051769,['23648427']
JX051768,['23648427']
JX051767,['23648427']
JX051766,['23648427']
JX051765,['23648427']
KF417489,['24978469']
KF417488,['24978469']
KF417487,['24978469']
KF417486,['24978469']
KF417485,['24978469']
KF417484,['24978469']
KF417483,['24978469']
KF052665,['24916872']
KF052664,['24916872']
KF052663,['24916872']
KF052662,['24916872']
KF052661,['24916872']
KF052660,['24916872']
KF052659,['24916872']
KF052658,['24916872']
KF052657,['24916872']
KF052656,['24916872']
KF052655,['24916872']
KF052654,['24916872']
KF052653,['24916872']
KF052652,['24916872']
KF052651,['24916872']
KF052650,['24916872']
KF752596,['24583230']
KF752595,['24583230']
KF752594,['24583230']
KF729022,['24642752']
KF729021,['24642752']
KF729020,['24642752']
KF729019,['24642752']
KF729018,['24642752']
KF286643,['24587454']
KF286642,['24587454']
KF286641,['24587454']
KF286640,['24587454']
KF286639,['24587454']
KF286638,['24587454']
KF286637,['24587454']
KF286636,['24587454']
KF385913,['24571329']
KF385912,['24571329']
KF385911,['24571329']
KF385910,['24571329']
KF385909,['24571329']
KF385908,['24571329']
KF041231,['24007412']
KF041230,['24007412']
KF041229,['24007412']
KF041228,['24007412']
KF041227,['24007412']
KF041226,['24007412']
KF041225,['24007412']
KF041224,['24007412']
KF041223,['24007412']
KF041222,['24007412']
KF041221,['24007412']
KF041220,['24007412']
KF041219,['24007412']
KF041218,['24007412']
KF041217,['24007412']
KF041216,['24007412']
KF041215,['24007412']
KF041214,['24007412']
KF041213,['24007412']
KF041212,['24007412']
KF041237,['24007412']
KF041236,['24007412']
KF041235,['24007412']
KF041234,['24007412']
KF041233,['24007412']
KF041232,['24007412']
JX080298,['24205075']
JX080297,['24205075']
JX080296,['24205075']
JX080295,['24205075']
JX080294,['24205075']
JQ717293,['23523598']
JQ717292,['23523598']
JQ717291,['23523598']
JN106401,['23523598']
JN106400,['23523598']
JN106399,['23523598']
JN106398,['23523598']
KC589011,['23951374']
JX966379,['23937713']
JX966380,['23937713']
JX286526,['23936406']
JX286525,['23936406']
JX286524,['23936406']
JX286523,['23936406']
JX286522,['23936406']
JX286521,['23936406']
JX286520,['23936406']
JX286519,['23936406']
JX286518,['23936406']
JX286517,['23936406']
JX286516,['23936406']
JX417144,['23100478']
JX417143,['23100478']
JX417142,['23100478']
JX417141,['23100478']
JX417140,['23100478']
JX417139,['23100478']
JX417138,['23100478']
JX417137,['23100478']
JX417136,['23100478']
JX417135,['23100478']
JX417134,['23100478']
JX417133,['23100478']
JX417132,['23100478']
JX417131,['23100478']
JX042514,['23520453']
JX042513,['23520453']
JX042512,['23520453']
JX042511,['23520453']
JX042510,['23520453']
JX042509,['23520453']
JX042508,['23520453']
JX042507,['23520453']
JX042506,['23520453']
JX042505,['23520453']
JX042504,['23520453']
JX042503,['23520453']
JX042502,['23520453']
JX042501,['23520453']
JX042500,['23520453']
JX042499,['23520453']
JX042498,['23520453']
JX042497,['23520453']
JX042496,['23520453']
JX042495,['23520453']
JX042494,['23520453']
JX042493,['23520453']
JX042492,['23520453']
JX042491,['23520453']
JX042490,['23520453']
JQ815199,['23497045']
HQ012538,['23516646']
HQ012537,['23516646']
HQ012536,['23516646']
HQ012535,['23516646']
HQ012534,['23516646']
HQ012533,['23516646']
HQ012532,['23516646']
HQ012531,['23516646']
HQ012530,['23516646']
HQ012529,['23516646']
HQ012528,['23516646']
HQ012527,['23516646']
HQ012526,['23516646']
HQ012525,['23516646']
HQ012524,['23516646']
HQ012523,['23516646']
HQ012522,['23516646']
HQ012521,['23516646']
HQ012520,['23516646']
HQ012519,['23516646']
HQ012518,['23516646']
HQ012517,['23516646']
HQ012516,['23516646']
HQ012515,['23516646']
HQ012514,['23516646']
HQ012513,['23516646']
HQ012512,['23516646']
HQ012511,['23516646']
HQ012510,['23516646']
HQ012509,['23516646']
HQ012508,['23516646']
HQ026763,['23516646']
JQ993227,['23350000']
JQ993226,['23350000']
JQ993225,['23350000']
JQ993224,['23350000']
JQ993223,['23350000']
JQ993222,['23350000']
JQ993221,['23350000']
JQ993220,['23350000']
JQ993219,['23350000']
JQ993218,['23350000']
JQ993217,['23350000']
JQ993216,['23350000']
JQ993215,['23350000']
JQ993214,['23350000']
JQ993213,['23350000']
JQ993212,['23350000']
JQ993211,['23350000']
JQ993210,['23350000']
JQ993209,['23350000']
JQ993208,['23350000']
JQ993207,['23350000']
JQ993206,['23350000']
JQ993205,['23350000']
JX470186,['23166230']
JN568282,['23092682']
JN568281,['23092682']
JN568280,['23092682']
JN568279,['23092682']
JN568278,['23092682']
JN568277,['23092682']
JN568276,['23092682']
JN568275,['23092682']
JN568274,['23092682']
JN568273,['23092682']
JN568272,['23092682']
JN568271,['23092682']
JN568270,['23092682']
JN568269,['23092682']
JN568268,['23092682']
JN568267,['23092682']
JN568266,['23092682']
JN568265,['23092682']
JN568264,['23092682']
JN568263,['23092682']
JN568262,['23092682']
JN568261,['23092682']
JN568260,['23092682']
JN568259,['23092682']
JN568258,['23092682']
JN568257,['23092682']
JN568256,['23092682']
JN568255,['23092682']
JN568254,['23092682']
JN568253,['23092682']
JN568252,['23092682']
JN568251,['23092682']
JN568250,['23092682']
JN568249,['23092682']
JN568248,['23092682']
JN568247,['23092682']
JN568246,['23092682']
JN568245,['23092682']
JN568244,['23092682']
JN568243,['23092682']
JN568242,['23092682']
JN568241,['23092682']
JQ013409,['22339201']
JQ013408,['22339201']
JX080291,['22670036']
JX080290,['22670036']
JX080289,['22670036']
JF730054,['22815273']
JF730053,['22815273']
HQ541799,['22815273']
JQ403524,['22855770']
JQ403523,['22855770']
JQ403522,['22855770']
JF968052,['22855770']
JF968051,['22855770']
JF968050,['22855770']
JF968049,['22855770']
JF968048,['22855770']
JF968047,['22855770']
JF968046,['22855770']
JF968045,['22855770']
JF968044,['22855770']
JF968043,['22855770']
JF968042,['22855770']
JF968041,['22855770']
JF968040,['22855770']
JF968039,['22855770']
JF968038,['22855770']
JF968037,['22855770']
JF968036,['22855770']
JF968035,['22855770']
JF968034,['22855770']
JF968033,['22855770']
JF968032,['22855770']
JF968031,['22855770']
JF968030,['22855770']
JF968029,['22855770']
JF968028,['22855770']
JF968027,['22855770']
JF968026,['22855770']
JF968025,['22855770']
JF968024,['22855770']
JF968023,['22855770']
JF968022,['22855770']
JF968021,['22855770']
JF968020,['22855770']
JF968019,['22855770']
JF968018,['22855770']
JF968017,['22855770']
JF968016,['22855770']
JF968015,['22855770']
JF968014,['22855770']
JF968013,['22855770']
JF968012,['22855770']
JF968011,['22855770']
JF968010,['22855770']
JF968009,['22855770']
JF968008,['22855770']
JF968007,['22855770']
JF968006,['22855770']
JF968005,['22855770']
JF968004,['22855770']
JF968003,['22855770']
JF968002,['22855770']
JF968001,['22855770']
JF968000,['22855770']
JF967999,['22855770']
JF967998,['22855770']
JF967997,['22855770']
JF967996,['22855770']
JF967995,['22855770']
JF967994,['22855770']
JF967993,['22855770']
JF967992,['22855770']
JF967991,['22855770']
JF967990,['22855770']
JF967989,['22855770']
JF967988,['22855770']
JF967987,['22855770']
JF967986,['22855770']
JF967985,['22855770']
JF967984,['22855770']
JF967983,['22855770']
JF967982,['22855770']
JF967981,['22855770']
JF967980,['22855770']
JF967979,['22855770']
JF967978,['22855770']
JF967977,['22855770']
JF967976,['22855770']
JF967975,['22855770']
JF967974,['22855770']
JF967973,['22855770']
JF967972,['22855770']
JF967971,['22855770']
JF967970,['22855770']
JF967969,['22855770']
JF967968,['22855770']
JF967967,['22855770']
JF967966,['22855770']
JF967965,['22855770']
JF967964,['22855770']
JF967963,['22855770']
JF967962,['22855770']
JF967961,['22855770']
JF967960,['22855770']
JF967959,['22855770']
JF967958,['22855770']
JF967957,['22855770']
JF967956,['22855770']
JF967955,['22855770']
JF967954,['22855770']
HM067747,"['20881182', '22855770']"
HM067746,"['20881182', '22855770']"
HM067745,['22855770']
JX079696,['22647702']
JX079695,['22647702']
JX079694,['22647702']
JX079693,['22647702']
JX079692,['22647702']
JX079691,['22647702']
JX079690,['22647702']
JX079689,['22647702']
JX079688,['22647702']
JX079687,['22647702']
JX079686,['22647702']
JF357907,['22647702']
JF357906,['22647702']
JF357905,['22647702']
HQ541805,['22647702']
HQ733861,['22647702']
HQ634199,['22647702']
HQ541801,['22647702']
HQ541794,['22647702']
HQ541793,['22647702']
HQ541792,['22647702']
HQ541788,['22647702']
HQ541787,['22647702']
HQ541786,['22647702']
FJ159150,['21254883']
FJ159149,['21254883']
FJ159148,['21254883']
FJ159147,['21254883']
FJ159146,['21254883']
FJ159145,['21254883']
FJ159144,['21254883']
FJ159143,['21254883']
FJ159142,['21254883']
FJ159141,['21254883']
FJ159140,['21254883']
FJ159139,['21254883']
FJ159138,['21254883']
FJ159137,['21254883']
FJ159136,['21254883']
HQ332190,['22197765']
HQ332189,['22197765']
HQ332188,['22197765']
HQ332187,['22197765']
HQ332186,['22197765']
HQ332185,['22197765']
HQ332184,['22197765']
FJ455530,"['12589955', '17500237']"
HQ385943,['21906394']
HQ385941,['21906394']
HQ385940,['21906394']
HQ385939,['21906394']
HQ385938,['21906394']
HQ385937,['21906394']
HQ385936,['21906394']
HQ385935,['21906394']
HQ385934,['21906394']
HQ385933,['21906394']
HQ385932,['21906394']
HQ385931,['21906394']
HQ385930,['21906394']
HM626128,['21906394']
HM626126,['21906394']
HM626125,['21906394']
HM626124,['21906394']
HM626123,['21906394']
HM626122,['21906394']
AB622079,['21872571']
AB622078,['21872571']
AB622077,['21872571']
AB622076,['21872571']
AB622075,['21872571']
AB622074,['21872571']
AB622073,['21872571']
AB622072,['21872571']
AB622071,['21872571']
AB622070,['21872571']
AB622069,['21872571']
AB622068,['21872571']
AB622067,['21872571']
AB622066,['21872571']
AB622065,['21872571']
AB622064,['21872571']
AB622063,['21872571']
AB622062,['21872571']
AB622061,['21872571']
AB622060,['21872571']
AB622059,['21872571']
AB622058,['21872571']
AB622057,['21872571']
AB622056,['21872571']
AB622055,['21872571']
AB622054,['21872571']
AB622053,['21872571']
AB622052,['21872571']
AB622051,['21872571']
AB622050,['21872571']
AB622049,['21872571']
AB622048,['21872571']
AB622047,['21872571']
AB622046,['21872571']
AB622045,['21872571']
AB622044,['21872571']
AB622043,['21872571']
AB622042,['21872571']
AB622041,['21872571']
AB622040,['21872571']
AB622039,['21872571']
AB622038,['21872571']
AB622037,['21872571']
AB622036,['21872571']
AB622035,['21872571']
AB622034,['21872571']
AB622033,['21872571']
AB622032,['21872571']
AB622031,['21872571']
AB622030,['21872571']
AB622029,['21872571']
AB622028,['21872571']
AB622027,['21872571']
AB622026,['21872571']
AB622025,['21872571']
AB622024,['21872571']
AB622023,['21872571']
AB622022,['21872571']
AB622021,['21872571']
AB622020,['21872571']
AB622019,['21872571']
AB622018,['21872571']
AB622017,['21872571']
AB622016,['21872571']
AB622015,['21872571']
AB622014,['21872571']
AB622013,['21872571']
AB622012,['21872571']
AB622011,['21872571']
AB622010,['21872571']
AB622009,['21872571']
AB622008,['21872571']
AB622007,['21872571']
AB622006,['21872571']
AB622005,['21872571']
AB622004,['21872571']
AB622003,['21872571']
AB622002,['21872571']
GU289914,['21461924']
JF327392,['21632767']
FJ196854,['21703015']
FJ196853,['21703015']
FJ196852,['21703015']
FJ196851,['21703015']
AB609589,['10590335']
GQ398314,['20600330']
GQ398313,['20600330']
GQ398312,['20600330']
GQ398311,['20600330']
GQ398310,['20600330']
GQ398309,['20600330']
GQ398308,['20600330']
GQ398307,['20600330']
GQ398306,['20600330']
GQ398305,['20600330']
GQ398304,['20600330']
GQ398303,['20600330']
GQ398302,['20600330']
GQ398301,['20600330']
GQ398300,['20600330']
GQ398299,['20600330']
GQ398298,['20600330']
GQ398297,['20600330']
GQ398296,['20600330']
GQ398295,['20600330']
GQ398294,['20600330']
GQ398293,['20600330']
GQ398292,['20600330']
GQ398291,['20600330']
GQ398290,['20600330']
GQ398289,['20600330']
GQ398288,['20600330']
GQ398287,['20600330']
GQ398286,['20600330']
GQ398285,['20600330']
GQ398284,['20600330']
GQ398283,['20600330']
GQ398282,['20600330']
GQ398281,['20600330']
GQ398280,['20600330']
GQ398279,['20600330']
GQ398278,['20600330']
GQ398277,['20600330']
GQ398276,['20600330']
GQ398275,['20600330']
GQ398274,['20600330']
GQ398273,['20600330']
GQ398272,['20600330']
GQ398271,['20600330']
GQ398270,['20600330']
GQ398269,['20600330']
GQ398268,['20600330']
GQ398267,['20600330']
GQ398266,['20600330']
GQ398265,['20600330']
GQ398264,['20600330']
GQ398263,['20600330']
GQ398262,['20600330']
GQ398261,['20600330']
GQ398260,['20600330']
GQ398259,['20600330']
GQ398258,['20600330']
GQ398257,['20600330']
AB543626,['20214880']
AB543625,['20214880']
AB543624,['20214880']
FM986661,['19463715']
FM986660,['19463715']
FM986659,['19463715']
FM986658,['19463715']
FM986657,['19463715']
FM986656,['19463715']
FM986655,['19463715']
FM986654,['19463715']
FJ467493,['19399166']
AB111454,['17617845']
AB111453,['17617845']
AB111452,['17617845']
AB111451,['17617845']
AB111450,['17617845']
AB111449,['17617845']
AB111448,['17617845']
AB122022,['15284482']
AB122021,['15284482']
AB122020,['15284482']
DENEP2,['1339466']
X65241,['7911607']
X65242,['7911607']
X65240,['7911607']
X65239,['7911607']
X17340,['2139210']
X17339,['2139210']
X17338,['2139210']
X51713,['2336374']
X51712,['2336374']
X51711,['2336374']
X51710,['2336373']
X51709,['2336373']
X51708,['2336373']
U87411,['9143286']
